Age,Material,Diameter,Slope,Depth,Length,Soil PH,Soil Type,Road Type,Condition Rating
57,VCP,8,0.34,11.32,221.0457335,5.7,Rock,Street,3
35,VCP,12,0.4,7,342.9759865,6.8,Clay,Street,5
28,PVC,8,0.5,8.58,295.0724195,5.4,Sand,Street,1
31,PVC,15,0.17,10.5,492.0856015,8.2,Clay,Street,1
58,PVC,8,0.36,8.58,334.5599474,8.2,Clay,Alley,3
68,VCP,8,1.456630986,7,371.6257946,5.4,Loam,Street,3
66,VCP,15,0.2,10,201.8071988,5.4,Sand,Street,3
51,VCP,8,0.8,6,272.8614269,8.2,Sand,Street,4
35,VCP,8,0.24,7,345.8900948,4.8,Sand,Street,1
62,VCP,8,0.4,12,81.9122766,7.9,Rock,Street,3
18,PVC,6,2,8.85,200,6.8,Loam,Street,3
67,VCP,54,0.07,8,330.5788842,7.9,Sand,Highway,2
14,PVC,12,0.68,5,420.2070141,8.2,Clay,Alley,1
34,PVC,8,0.612431556,7,72.76962228,8.2,Clay,Street,2
29,PVC,54,0.44,10,399.9747657,7.9,Rock,Street,1
72,VCP,24,0.4,8.85,319.7357634,5.4,Sand,Highway,4
54,VCP,8,0.32,10.77,172.8769757,5.7,Sand,Alley,3
54,PVC,8,0.107263217,8.85,138.0825281,5.4,Sand,Street,3
67,VCP,54,0.2,8.85,316.4093965,5.7,Loam,Street,1
66,VCP,8,0.33,10,299.99,5.4,Sand,Alley,4
37,VCP,15,0.75,8,435.3942655,6.5,Sand,Street,3
42,VCP,8,0.000850001,8,358.06,4.8,Sand,Street,5
21,PVC,8,0.42,9.13,238.99,8.2,Clay,Street,1
37,RC,8,2.3693089,7,323.3774006,7.9,Loam,Street,1
73,VCP,54,0.4,13.24,205.0912942,5.4,Sand,Street,3
29,PVC,10,0.18,8,248.7776778,8.2,Clay,Street,1
75,VCP,8,0.44,8.31,359.8248107,6.8,Sand,Street,3
36,VCP,8,0.15,10.5,147.5155026,6.7,Loam,Easement,3
61,PVC,8,0.4,12.42,280,4.8,Sand,Highway,3
71,VCP,8,0.019918858,18.35319749,143.44,5.4,Sand,Alley,1
20,PVC,12,0.33,10,147.2721599,7.9,Rock,Street,1
63,VCP,8,0.69,5,489.6903632,7.9,Loam,Street,5
22,PVC,8,0.69,7,337.1895515,8.2,Clay,Street,1
60,VCP,10,0.33,4.47,265.9099277,7.310640533,Sand,Easement,4
57,VCP,8,0.048637662,18.48839993,198.5395064,4.8,Sand,Street,1
69,VCP,24,0.37,8,488.5238795,5.4,Sand,Street,3
19,PVC,12,0.65,4.47,152.2986733,8.2,Sand,Street,1
12,VCP,8,0.39,10,64.86558115,5.7,Sand,Street,3
48,PVC,12,0.68,7,243.9982924,8.2,Loam,Highway,1
60,VCP,8,2.5,4.47,189.1896085,8.2,Clay,Street,3
15,PVC,10,0.6,5,235.812793,7.4,Gravel,Street,1
78,VCP,12,0.12,6,102.6050831,5.7,Sand,Street,3
68,VCP,24,0.37,4.75,886.6810131,7.9,Clay,Street,1
17,PVC,10,1.7,8,347.3776318,7.9,Clay,Easement,1
37,VCP,10,0.4,6.66,380.6729298,5.7,Sand,Highway,3
43,PVC,8,0.27,9.95,330.3151412,5.4,Sand,Street,1
72,VCP,10,0.38,10,332.2384262,5.4,Clay,Street,5
57,PVC,8,0.005,10,115.3896981,5.7,Sand,Street,3
20,PVC,6,1.641858191,10,149.0702765,7.3,Sand,Street,1
66,VCP,8,0.36,16.48397714,291.99,4.8,Sand,Easement,3
36,VCP,12,0.14,15,126.74,7.9,Sand,Alley,4
11,PVC,10,0.5,7,339.613563,8.2,Clay,Street,1
66,PVC,8,0.28,8,1040.954027,6.8,Clay,Easement,1
48,VCP,15,0.0077486,13,375.6278268,4.8,Sand,Street,3
63,VCP,8,3.3,5.84,150.86,7.9,Sand,Street,2
39,PVC,8,0.23,11.59,157.5859635,4.8,Sand,Street,3
55,VCP,6,0.3,10,129.7842002,7.9,Loam,Street,3
49,VCP,8,0.3,11.87,93.96043754,5.4,Sand,Street,1
23,VCP,8,0.15,7,297.290042,5.8,Sand,Street,1
67,VCP,8,0.27,19.54,643.8163675,7.9,Sand,Street,3
18,PVC,8,3.028279672,7,335,8.2,Clay,Highway,1
36,RC,10,1.4,6,1770.050482,7.5,Clay,Alley,3
44,RC,8,1.9,1.73,303.2696541,6.5,Sand,Street,1
41,VCP,8,0.39,15,99.08310373,7.9,Sand,Alley,3
38,VCP,8,0.75,7,251.9057121,8.2,Clay,Street,3
19,PVC,10,0.47,8,402.7914089,8.2,Sand,Alley,1
20,PVC,8,3.8,1.18,95.03509108,8.2,Clay,Highway,2
20,PVC,8,0.31,7,506.4732887,7.5,Clay,Alley,3
15,PVC,12,0.28,10,305.75,5.7,Clay,Street,3
64,VCP,8,0.32,11.32,373.6769693,4.8,Clay,Street,3
17,VCP,41,0.34,7,257.9350432,8.2,Clay,Street,1
70,VCP,6,0.31,11.32,319.3485212,7.5,Clay,Street,1
60,PVC,8,1.9,5,1210.375331,8.2,Clay,Street,1
37,VCP,10,0.1,10,276.1184557,6.9,Rock,Alley,5
46,VCP,8,0.2,13,355.75,5.7,Sand,Street,3
70,VCP,8,0.5,7,332.6,5.4,Sand,Street,3
27,PVC,8,0.39,11.32,190.154207,7.9,Clay,Easement,3
26,PVC,10,0.3,1.46,402.7984799,7.9,Clay,Street,1
65,VCP,12,0.45,8.58,217.2913666,7.9,Loam,Street,4
65,VCP,8,0.4,10.5,333,5.5,Clay,Easement,3
34,RC,15,0.34,7,185.7748764,6.9,Sand,Alley,1
34,RC,8,0.3,11.05,82.25946428,8.2,Clay,Street,1
36,VCP,8,2.279323628,10,170.6136677,8.2,Clay,Street,1
54,VCP,12,0.36,13,52.02130377,5.4,Clay,Alley,1
62,VCP,8,0.45,10.5,581.9899554,5.4,Clay,Easement,5
34,PVC,10,0.39,5,105.2239566,8.2,Clay,Easement,1
65,PVC,8,1.8,5,129.8246239,7.9,Loam,Street,1
48,VCP,8,2.7,5,326.2407546,6.5,Rock,Street,2
25,VCP,8,0.3,8.03,344.19926,5.5,Loam,Alley,1
70,VCP,8,0.83,10.22,219.7909394,5.7,Rock,Street,3
18,PVC,8,1,8.85,251.2986255,8.2,Clay,Street,3
57,PVC,48,0.38,9.95,92.05333977,5.8,Sand,Street,1
36,PVC,6,0.39,8,667.8159291,8.2,Clay,Alley,2
21,VCP,6,0.55,7,140.9931872,5.7,Sand,Alley,1
67,VCP,8,0.29,10,299.93,4.8,Sand,Alley,1
38,VCP,12,0.28,5,390.5166107,7.9,Sand,Street,1
37,PVC,12,0.5,8,73.81186604,8.2,Sand,Street,3
54,PVC,8,0.71,7.48,587.2777748,8.2,Sand,Street,1
55,VCP,8,0.48,7,283.3375614,5.4,Sand,Alley,3
48,VCP,24,0.03,8.03,1408.017946,4.8,Sand,Street,5
36,VCP,8,0.39,9.13,134.35,5.4,Sand,Alley,1
48,VCP,30,0.1,10.77,813.6909378,5.4,Clay,Street,4
67,VCP,42,0.7,5.57,347.0825972,8.2,Clay,Street,1
71,VCP,20,0,10,384.054321,5.3,Loam,Easement,3
57,RC,12,0.27,5,231.4956059,6.8,Sand,Easement,3
42,PVC,12,0.38,7,25.71893746,7.5,Clay,Highway,1
22,RC,12,0.2,7,250.1048874,5.8,Clay,Street,1
71,VCP,8,0.68,8,751.7737397,8.2,Gravel,Street,3
17,PVC,8,0.43,10,153.7357582,7.9,Sand,Street,1
36,VCP,18,0.006,10,261.7947151,8.2,Gravel,Street,2
65,VCP,8,0.19,7,309.99,6.9,Clay,Highway,3
51,VCP,8,0.75,18.17,103.2394395,5.7,Sand,Highway,1
40,VCP,8,0.46,13,317.9806922,5.4,Sand,Street,3
29,PVC,12,0.39,6,77.12130077,8.2,Clay,Street,1
68,VCP,18,0.4,10,265.3319112,6.9,Clay,Street,3
62,RC,8,0.8,3.38,231.4550933,6.5,Sand,Highway,1
30,RC,6,0.4,10,244,7.9,Clay,Street,1
66,VCP,6,1.43,5,328.0243708,5.7,Clay,Alley,3
20,PVC,8,2.877799461,5,335.1011794,8.2,Clay,Street,1
28,VCP,8,0.2,12.69,307.6172163,4.8,Sand,Street,3
40,PVC,8,0.15,7,308.6634383,5.7,Sand,Street,1
13,RC,8,1,8.58,100.5879616,5.4,Sand,Street,3
56,VCP,8,0.39,8,287.9801284,5.7,Loam,Street,1
91,VCP,8,0.39,5,408.5629868,7.5,Loam,Street,1
58,RC,12,0.47,7,259.55833,5.7,Clay,Easement,3
64,VCP,18,0.12,8.31,219.018049,5.4,Sand,Street,3
63,VCP,12,0.26,9.13,334.1825103,8.2,Clay,Street,3
47,PVC,27,0.34,10.22,307.5876231,7.9,Clay,Alley,3
6,PVC,8,0.4,13,349.5221131,7.9,Clay,Street,1
26,PVC,8,0.24,8.85,216.7315913,4.8,Sand,Street,1
63,RC,8,0.32,7,264.5754295,7.9,Clay,Easement,3
17,RC,8,0.39,8.58,299.6867448,6.5,Sand,Street,1
46,PVC,12,0.5,10,70.98307656,8.2,Clay,Easement,1
16,PVC,6,1.9,5,317.99,8.2,Clay,Easement,1
21,VCP,8,0.26,12,714.9702583,7.5,Clay,Easement,3
37,VCP,8,0.08,12.14,434.1155948,5.7,Clay,Street,1
67,VCP,8,0.14,18.71359083,465.6265262,7.9,Clay,Street,5
67,VCP,8,0.006,7,412.1484045,7.9,Sand,Street,3
60,PVC,18,7.618026844,0.64,322.7063079,8.2,Sand,Highway,3
38,RC,8,8.3,0.09,300,8.2,Clay,Street,1
89,VCP,15,0.48,5,1206.86561,8.2,Clay,Street,4
31,PVC,6,4,8.85,307.8447571,7.9,Clay,Easement,2
36,VCP,8,0.39,8.85,268.5056411,7.9,Sand,Street,1
25,VCP,8,7.614635175,5,18.05508752,7.9,Clay,Alley,1
21,RC,8,0.2,7,431.5518614,7.9,Loam,Street,3
65,VCP,8,4,10,341.4165193,6.8,Clay,Street,2
16,PVC,10,0.4,10.5,349.9284689,5.7,Sand,Alley,3
53,PVC,8,0.34,8.58,407.7043452,7.5,Loam,Street,3
40,RC,8,0.12,8,77.63906752,5.4,Sand,Street,1
93,VCP,10,0.006482253,13,577.5071441,4.8,Sand,Street,4
33,PVC,8,0.45,11.59,248.4224354,5.4,Sand,Street,3
75,PVC,24,0.47,7,592.4530131,8.2,Gravel,Street,3
72,VCP,8,0.4,8,587.9415223,8.2,Clay,Street,3
57,VCP,10,0.25,7,349.1284192,8.2,Rock,Highway,1
20,PVC,12,0.68,12,157.4827876,8.2,Clay,Street,1
60,VCP,8,0.39,8.85,154.0983142,5.7,Sand,Street,1
23,PVC,8,0.8,7,206.4609753,7.9,Sand,Easement,2
44,RC,6,1.1,6,380.8954749,8.2,Loam,Street,3
11,PVC,8,2.6,5,288.9954685,8.2,Clay,Highway,2
65,RC,27,0.18,7,259.8648138,8.2,Clay,Alley,3
